SKU,Brand,Model,CPU,RAM,Primary_Storage,GPU,Screen_Size,Resolution,Weight_kg,OS,Type,Battery_Hours,Touchscreen,Price_INR
LTP00058,Apple,Ultrabook,Apple M1,4GB,1TB SSD,Integrated,13.3,Retina,2.0,macOS,Ultrabook,16.0,No,89000
LTP00059,Lenovo,Ultrabook,Ryzen 7 5800H,32GB,512GB SSD,Integrated,14.0,QHD,1.5,macOS,Ultrabook,7.0,No,90000
LTP00060,Lenovo,Netbook,Ryzen 3 3250U,8GB,256GB HDD,MX550 2GB,11.6,HD,1.1,Linux,Netbook,7.3,No,30000
LTP00061,Microsoft,Gaming Series,i5-12500H,8GB,2TB SSD,RTX 3070 8GB,16.0,QHD,2.6,Linux,Gaming Series,3.6,No,162000
LTP00062,Samsung,Gaming Series,Ryzen 7 5800H,64GB,2TB SSD,GTX 1650 4GB,17.3,FHD,2.4,Windows 10,Gaming Series,4.7,No,214000
LTP00063,HP,Ultrabook,i5-1235U,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.5,Windows 11,Ultrabook,7.4,No,67000
LTP00064,ASUS,Business Series,Ryzen 9 5900HX,8GB,1TB SSD,Integrated,15.6,QHD,1.7,Windows 11,Business Series,6.5,No,95000
LTP00065,Samsung,Gaming Series,Ryzen 7 5800H,16GB,2TB SSD,RTX 3060 6GB,16.0,QHD,2.8,Linux,Gaming Series,3.7,No,140000
LTP00066,MSI,Notebook,Ryzen 9 5900HS,32GB,1TB SSD,MX550 2GB,15.6,4K,1.6,Linux,Notebook,9.8,No,140000
LTP00067,Samsung,Notebook,Ryzen 7 5800H,8GB,1TB SSD,Integrated,14.0,FHD,2.3,Windows 10,Notebook,6.7,No,72000
LTP00068,Apple,Gaming Series,Apple M2 Pro,64GB,2TB SSD,Integrated,16.0,Retina,2.7,macOS,Gaming Series,12.2,Yes,258000
LTP00069,Acer,Business Series,i5-1135G7,16GB,2TB SSD,Integrated,15.6,HD,1.7,Linux,Business Series,5.1,No,83000
LTP00070,Apple,Netbook,Apple M2,4GB,256GB HDD,Integrated,11.6,Retina,1.0,macOS,Netbook,12.5,No,27891
LTP00071,Samsung,Business Series,i5-12500H,16GB,1TB SSD,MX550 2GB,14.0,FHD,1.9,Windows 11,Business Series,6.4,No,82000
LTP00072,Apple,Business Series,Apple M1 Pro,16GB,1TB SSD,Integrated,15.6,Retina,2.2,macOS,Business Series,13.2,No,143000
LTP00073,ASUS,Netbook,i3-1215U,8GB,256GB HDD,MX550 2GB,13.3,HD,1.2,DOS,Netbook,8.7,No,31000
LTP00074,Realme,Gaming Series,i9-12900H,32GB,512GB SSD,RTX 4050 6GB,17.3,FHD,2.6,Windows 11,Gaming Series,5.3,No,140000
LTP00075,HP,Business Series,i3-1215U,8GB,1TB SSD,MX550 2GB,14.0,QHD,1.8,macOS,Business Series,7.1,No,72000
LTP00076,Apple,Ultrabook,Apple M1 Pro,16GB,512GB SSD,Integrated,14.0,Retina,2.0,macOS,Ultrabook,13.8,No,140000
LTP00077,Samsung,Business Series,i5-12500H,16GB,1TB SSD,GTX 1650 4GB,15.6,HD,1.8,Windows 11,Business Series,6.3,No,99000
LTP00078,Infinix,Ultrabook,Ryzen 5 5600H,16GB,512GB SSD,Integrated,14.0,QHD,1.2,macOS,Ultrabook,5.3,No,60000
LTP00079,Acer,Ultrabook,i5-1235U,16GB,512GB SSD,Integrated,13.3,HD,1.9,Windows 11,Ultrabook,5.7,No,69000
LTP00080,Infinix,Ultrabook,Ryzen 7 5700U,16GB,512GB SSD,MX550 2GB,14.0,HD,1.4,Windows 11,Ultrabook,7.2,No,63000
LTP00081,HP,Business Series,Ryzen 5 5500U,16GB,512GB SSD,Integrated,15.6,HD,1.7,macOS,Business Series,8.2,No,64000
LTP00082,Apple,Notebook,Apple M2,16GB,256GB SSD,Integrated,14.0,Retina,2.0,macOS,Notebook,16.9,No,126000
LTP00083,Realme,Notebook,i5-12500H,16GB,256GB SSD,MX550 2GB,14.0,HD,1.8,Windows 11,Notebook,8.9,No,55000
LTP00084,Acer,Notebook,Ryzen 7 5700U,8GB,512GB SSD,Integrated,14.0,FHD,1.7,Windows 10,Notebook,8.1,No,56000
LTP00085,Avita,Ultrabook,Ryzen 7 5800H,32GB,512GB SSD,Integrated,13.3,FHD,1.9,Windows 10,Ultrabook,5.4,No,82000
LTP00086,HP,Notebook,Ryzen 3 3250U,8GB,1TB SSD,MX550 2GB,14.0,FHD,2.0,Linux,Notebook,8.8,No,51000
LTP00087,Samsung,Gaming Series,Ryzen 7 5800H,16GB,2TB SSD,RTX 3070 8GB,16.0,FHD,2.2,macOS,Gaming Series,5.9,No,132000
LTP00088,HP,Gaming Series,i5-12500H,32GB,1TB SSD,GTX 1650 4GB,17.3,FHD,2.8,Linux,Gaming Series,4.7,No,125000
LTP00089,Avita,Business Series,Ryzen 7 5700U,16GB,1TB SSD,MX550 2GB,14.0,HD,1.9,Windows 10,Business Series,9.2,No,73000
LTP00090,HP,Gaming Series,Ryzen 9 5900HS,32GB,2TB SSD,RTX 3070 8GB,17.3,FHD,2.5,Windows 11,Gaming Series,5.0,No,152000
LTP00091,Acer,Gaming Series,i9-12900H,8GB,512GB SSD,RTX 3060 6GB,16.0,FHD,2.6,macOS,Gaming Series,5.9,No,109000
LTP00092,MSI,Netbook,i3-1215U,4GB,256GB HDD,MX550 2GB,11.6,FHD,1.0,Windows 11,Netbook,9.0,Yes,44000
LTP00093,Samsung,Ultrabook,Ryzen 9 5900HS,8GB,1TB SSD,MX550 2GB,14.0,HD,1.7,Linux,Ultrabook,8.0,No,80000
LTP00094,ASUS,Netbook,Ryzen 3 3250U,4GB,256GB SSD,Integrated,13.3,HD,1.0,Windows 10,Netbook,8.0,No,24000
LTP00095,Microsoft,Gaming Series,Ryzen 9 5900HS,16GB,2TB SSD,GTX 1650 4GB,15.6,FHD,2.1,macOS,Gaming Series,3.9,No,142000
LTP00096,Avita,Netbook,i3-1115G4,8GB,256GB SSD,Integrated,13.3,FHD,1.5,Linux,Netbook,6.4,No,18000
LTP00097,Realme,Netbook,i3-1115G4,8GB,256GB SSD,MX550 2GB,11.6,HD,1.3,Linux,Netbook,8.1,No,28000
LTP00098,Apple,Gaming Series,Apple M2,16GB,512GB SSD,Integrated,15.6,Retina,2.5,macOS,Gaming Series,16.6,No,123000
LTP00099,Avita,Ultrabook,Ryzen 7 5800H,8GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.8,macOS,Ultrabook,8.0,No,51000
LTP00100,Samsung,Ultrabook,i3-1215U,4GB,256GB SSD,MX550 2GB,14.0,FHD,1.6,macOS,Ultrabook,9.0,No,46000
LTP00101,Realme,Ultrabook,Ryzen 3 3250U,8GB,256GB SSD,GTX 1650 4GB,14.0,QHD,1.1,Linux,Ultrabook,8.2,Yes,54000
LTP00102,Samsung,Ultrabook,i7-1255U,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.1,macOS,Ultrabook,8.2,No,86000
LTP00103,Microsoft,Ultrabook,i7-11800H,16GB,1TB SSD,GTX 1650 4GB,14.0,HD,1.7,macOS,Ultrabook,9.6,No,126000
LTP00104,Avita,Netbook,Ryzen 3 3250U,4GB,512GB HDD,MX550 2GB,11.6,HD,1.4,Windows 10,Netbook,9.0,No,15000
LTP00105,Avita,Ultrabook,Ryzen 9 5900HX,8GB,256GB SSD,Integrated,14.0,QHD,1.5,macOS,Ultrabook,6.1,No,55000
LTP00106,HP,Ultrabook,Ryzen 9 5900HX,8GB,1TB SSD,GTX 1650 4GB,14.0,HD,1.2,Windows 10,Ultrabook,8.5,No,90000
LTP00107,Infinix,Netbook,i3-1215U,8GB,512GB HDD,Integrated,13.3,HD,1.0,macOS,Netbook,9.9,No,15000
LTP00108,ASUS,Netbook,Ryzen 3 3250U,8GB,256GB HDD,MX550 2GB,13.3,FHD,1.4,Linux,Netbook,9.2,No,32000
LTP00109,Avita,Ultrabook,Ryzen 5 5500U,16GB,256GB SSD,GTX 1650 4GB,13.3,FHD,1.9,Windows 10,Ultrabook,5.7,No,63000
LTP00110,ASUS,Gaming Series,i9-12900H,8GB,2TB SSD,RTX 3070 8GB,16.0,4K,2.3,Windows 10,Gaming Series,3.1,No,167000
LTP00111,Avita,Netbook,i3-1115G4,4GB,256GB HDD,Integrated,11.6,HD,1.2,Windows 11,Netbook,8.5,No,9000
LTP00112,ASUS,Gaming Series,Ryzen 9 5900HS,32GB,512GB SSD,GTX 1650 4GB,15.6,FHD,2.5,Linux,Gaming Series,4.9,Yes,133000
LTP00113,Samsung,Ultrabook,i3-1115G4,8GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.4,Windows 11,Ultrabook,8.3,No,68000
LTP00114,HP,Business Series,Ryzen 9 5900HX,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.5,Windows 10,Business Series,8.9,No,91000
LTP00115,Avita,Notebook,Ryzen 3 3250U,8GB,512GB SSD,Integrated,14.0,FHD,2.0,Windows 11,Notebook,9.9,No,30000
LTP00116,Lenovo,Notebook,Ryzen 7 5800H,8GB,256GB SSD,MX550 2GB,15.6,QHD,1.9,Windows 10,Notebook,9.9,No,61000
LTP00117,Avita,Notebook,Ryzen 5 5500U,8GB,512GB SSD,MX550 2GB,15.6,FHD,2.2,Windows 10,Notebook,6.9,No,42000
LTP00118,Samsung,Netbook,Ryzen 3 3250U,8GB,256GB SSD,Integrated,11.6,HD,1.1,macOS,Netbook,6.3,No,36000
LTP00119,Realme,Gaming Series,i7-12700H,16GB,2TB SSD,RTX 3060 6GB,16.0,QHD,2.3,Linux,Gaming Series,4.9,No,118000
LTP00120,Avita,Ultrabook,Ryzen 5 5500U,8GB,1TB SSD,Integrated,14.0,HD,1.1,Windows 11,Ultrabook,8.9,No,42000
LTP00121,Realme,Notebook,i5-12500H,8GB,256GB SSD,MX550 2GB,15.6,FHD,2.0,Linux,Notebook,6.2,No,51000
LTP00122,Samsung,Ultrabook,i5-1235U,16GB,256GB SSD,MX550 2GB,14.0,FHD,2.0,macOS,Ultrabook,6.0,No,72000
LTP00123,Lenovo,Gaming Series,Ryzen 7 5800H,64GB,1TB SSD,RTX 4060 8GB,17.3,FHD,2.4,Windows 10,Gaming Series,5.7,No,205000
LTP00124,Infinix,Ultrabook,Ryzen 5 5500U,32GB,256GB SSD,Integrated,14.0,HD,1.6,Windows 11,Ultrabook,6.8,No,69000
LTP00125,Realme,Gaming Series,i5-12500H,64GB,2TB SSD,RTX 3070 8GB,16.0,QHD,2.7,macOS,Gaming Series,3.2,No,205000
LTP00126,Samsung,Ultrabook,Ryzen 9 5900HX,16GB,1TB SSD,Integrated,13.3,FHD,1.1,macOS,Ultrabook,7.5,No,96000
LTP00127,Microsoft,Notebook,i7-1255U,16GB,256GB SSD,MX550 2GB,15.6,FHD,1.7,Windows 11,Notebook,8.2,No,98000
LTP00128,Acer,Ultrabook,i5-1135G7,16GB,256GB SSD,GTX 1650 4GB,14.0,FHD,1.6,Windows 11,Ultrabook,9.1,Yes,66000
LTP00129,Avita,Gaming Series,i9-12900H,16GB,2TB SSD,RTX 4050 6GB,17.3,FHD,2.5,Windows 11,Gaming Series,3.9,No,149000
LTP00130,MSI,Notebook,i5-1135G7,8GB,512GB SSD,Integrated,15.6,QHD,1.8,Windows 10,Notebook,8.6,No,91000
LTP00131,MSI,Notebook,Ryzen 5 5500U,8GB,256GB SSD,MX550 2GB,14.0,FHD,1.5,Windows 10,Notebook,9.7,No,71000
LTP00132,Lenovo,Gaming Series,Ryzen 9 5900HS,32GB,1TB SSD,RTX 3050 4GB,16.0,FHD,2.2,macOS,Gaming Series,3.1,No,133000
LTP00133,ASUS,Notebook,Ryzen 5 5500U,8GB,1TB SSD,Integrated,15.6,FHD,1.5,Windows 10,Notebook,5.5,No,53000
LTP00134,Apple,Gaming Series,Apple M1 Pro,8GB,512GB SSD,Integrated,15.6,Retina,2.3,macOS,Gaming Series,13.7,No,130000
LTP00135,Microsoft,Notebook,i5-1235U,8GB,512GB SSD,Integrated,15.6,FHD,1.7,Windows 11,Notebook,7.5,No,75000
LTP00136,Lenovo,Gaming Series,Ryzen 7 5800H,32GB,2TB SSD,RTX 3050 4GB,17.3,FHD,2.3,Linux,Gaming Series,4.8,No,139000
LTP00137,Microsoft,Gaming Series,Ryzen 9 5900HS,16GB,1TB SSD,RTX 4060 8GB,16.0,FHD,2.1,Linux,Gaming Series,4.2,No,171000
LTP00138,Infinix,Ultrabook,Ryzen 9 5900HS,16GB,1TB SSD,GTX 1650 4GB,13.3,FHD,1.2,macOS,Ultrabook,8.1,No,88000
LTP00139,Lenovo,Gaming Series,i7-12700H,64GB,512GB SSD,RTX 4050 6GB,16.0,FHD,2.1,Windows 10,Gaming Series,5.1,No,193000
LTP00140,Samsung,Gaming Series,Ryzen 9 5900HX,16GB,512GB SSD,RTX 4060 8GB,17.3,FHD,2.3,Windows 10,Gaming Series,5.9,No,136000
LTP00141,Microsoft,Netbook,Ryzen 3 3250U,4GB,256GB SSD,MX550 2GB,13.3,HD,1.5,macOS,Netbook,7.2,No,43101
LTP00142,Samsung,Netbook,i3-1215U,4GB,512GB HDD,MX550 2GB,13.3,FHD,1.1,DOS,Netbook,7.4,No,31000
LTP00143,Dell,Notebook,i5-1135G7,16GB,1TB SSD,MX550 2GB,14.0,FHD,1.7,macOS,Notebook,7.8,No,74000
LTP00144,Infinix,Ultrabook,i9-12900H,16GB,256GB SSD,GTX 1650 4GB,13.3,HD,1.3,Windows 10,Ultrabook,7.4,No,82000
LTP00145,Microsoft,Business Series,i7-1255U,32GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.7,Linux,Business Series,6.4,Yes,159000
LTP00146,Avita,Ultrabook,i3-1215U,16GB,256GB SSD,MX550 2GB,13.3,QHD,1.4,Windows 11,Ultrabook,7.5,No,59000
LTP00147,Acer,Gaming Series,i5-12500H,32GB,1TB SSD,RTX 4050 6GB,17.3,FHD,2.4,macOS,Gaming Series,5.8,No,133000
LTP00148,ASUS,Gaming Series,i9-12900H,16GB,1TB SSD,RTX 4060 8GB,15.6,QHD,2.6,Windows 11,Gaming Series,4.7,No,146000
LTP00149,Avita,Gaming Series,Ryzen 7 5800H,16GB,512GB SSD,GTX 1650 4GB,15.6,FHD,2.7,macOS,Gaming Series,3.0,No,77000
LTP00150,Acer,Business Series,i7-11800H,16GB,2TB SSD,MX550 2GB,14.0,FHD,1.6,Windows 10,Business Series,8.4,No,111000
LTP00151,Acer,Ultrabook,i7-11800H,8GB,256GB SSD,GTX 1650 4GB,14.0,FHD,1.6,macOS,Ultrabook,7.1,No,71000
LTP00152,Microsoft,Gaming Series,i7-12700H,32GB,512GB SSD,RTX 4060 8GB,17.3,QHD,2.1,Windows 11,Gaming Series,4.7,Yes,189000
LTP00153,Microsoft,Notebook,i5-12500H,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.9,Windows 11,Notebook,9.5,No,90000
LTP00154,Lenovo,Ultrabook,Ryzen 7 5800H,8GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.0,Windows 10,Ultrabook,6.1,Yes,65000
LTP00155,Infinix,Notebook,i3-1215U,4GB,512GB SSD,MX550 2GB,14.0,FHD,2.3,Windows 10,Notebook,8.2,No,32000
LTP00156,MSI,Netbook,i3-1215U,8GB,512GB HDD,Integrated,11.6,HD,1.1,Linux,Netbook,6.7,No,49000
LTP00157,Infinix,Business Series,i3-1115G4,16GB,2TB SSD,MX550 2GB,15.6,FHD,1.7,Windows 10,Business Series,6.7,No,77000
LTP00158,Infinix,Gaming Series,i5-12500H,32GB,512GB SSD,RTX 4050 6GB,15.6,FHD,2.0,Linux,Gaming Series,4.8,No,103000
LTP00159,Infinix,Notebook,Ryzen 7 5800H,16GB,256GB SSD,Integrated,15.6,FHD,2.2,Windows 11,Notebook,7.9,No,54000
LTP00160,Apple,Notebook,Apple M2,32GB,1TB SSD,Integrated,15.6,Retina,1.7,macOS,Notebook,15.3,No,159000
LTP00161,Lenovo,Ultrabook,Ryzen 7 5700U,32GB,1TB SSD,Integrated,14.0,FHD,1.4,Linux,Ultrabook,6.5,No,97000
LTP00162,ASUS,Gaming Series,i9-12900H,64GB,2TB SSD,RTX 3070 8GB,16.0,FHD,2.1,Windows 11,Gaming Series,3.7,No,233000
LTP00163,Samsung,Gaming Series,i5-12500H,16GB,2TB SSD,GTX 1650 4GB,15.6,QHD,2.2,Windows 11,Gaming Series,5.3,No,127000
LTP00164,Samsung,Notebook,Ryzen 3 3250U,8GB,256GB SSD,Integrated,14.0,FHD,2.1,macOS,Notebook,9.6,No,50000
LTP00165,MSI,Business Series,Ryzen 3 3250U,16GB,2TB SSD,MX550 2GB,15.6,FHD,2.2,macOS,Business Series,7.3,No,111000
LTP00166,Apple,Business Series,Apple M1 Pro,16GB,512GB SSD,Integrated,14.0,Retina,2.1,macOS,Business Series,12.1,No,139000
LTP00167,Infinix,Netbook,i3-1115G4,4GB,512GB HDD,MX550 2GB,13.3,HD,1.5,Windows 11,Netbook,7.4,No,13000
LTP00168,Infinix,Ultrabook,Ryzen 9 5900HS,16GB,512GB SSD,Integrated,14.0,HD,1.9,Linux,Ultrabook,10.0,No,64000
LTP00169,HP,Business Series,i3-1215U,8GB,2TB SSD,MX550 2GB,14.0,HD,1.9,Windows 10,Business Series,6.9,No,74000
LTP00170,Realme,Business Series,Ryzen 9 5900HS,16GB,1TB SSD,Integrated,15.6,FHD,1.7,Windows 10,Business Series,7.5,No,79000
LTP00171,Lenovo,Notebook,i5-1235U,8GB,1TB SSD,Integrated,15.6,FHD,1.8,Windows 11,Notebook,6.9,No,61000
LTP00172,Infinix,Notebook,i5-1135G7,8GB,512GB SSD,Integrated,14.0,FHD,2.1,Windows 10,Notebook,5.4,No,43000
LTP00173,Apple,Ultrabook,Apple M1,16GB,256GB SSD,Integrated,14.0,Retina,1.3,macOS,Ultrabook,17.5,No,102000
LTP00174,Microsoft,Ultrabook,i3-1215U,4GB,256GB SSD,MX550 2GB,14.0,QHD,1.3,Windows 11,Ultrabook,7.8,No,79000
LTP00175,Avita,Gaming Series,i9-12900H,16GB,2TB SSD,RTX 4060 8GB,17.3,QHD,2.3,Linux,Gaming Series,3.3,No,147000
LTP00176,Realme,Gaming Series,Ryzen 9 5900HS,8GB,1TB SSD,RTX 3060 6GB,16.0,FHD,2.3,Linux,Gaming Series,5.8,No,99000
LTP00177,Avita,Netbook,Ryzen 3 3250U,8GB,256GB SSD,Integrated,13.3,HD,1.3,macOS,Netbook,9.0,No,18000
LTP00178,Dell,Business Series,Ryzen 7 5800H,8GB,512GB SSD,MX550 2GB,15.6,FHD,1.9,macOS,Business Series,5.5,No,68000
LTP00179,Realme,Ultrabook,Ryzen 3 3250U,8GB,512GB SSD,Integrated,13.3,FHD,1.2,Linux,Ultrabook,6.9,No,34000
LTP00180,Samsung,Notebook,i7-1255U,8GB,512GB SSD,MX550 2GB,15.6,FHD,1.7,Linux,Notebook,8.1,No,72000
