Brand,CPU,RAM,Primary_Storage,GPU,Screen_Size,Resolution,Weight_kg,OS,Type,Battery_Hours,Touchscreen,Price_INR
Dell,Ryzen 7 5800H,16GB,1TB SSD,RTX 3050 4GB,16.0,QHD,2.2,Windows 10,Gaming Series,3.1,No,115000
MSI,i5-1235U,8GB,256GB SSD,Integrated,13.3,FHD,1.3,Windows 11,Ultrabook,6.1,No,78000
Realme,i7-11800H,8GB,256GB SSD,Integrated,14.0,FHD,1.6,Windows 10,Notebook,6.9,No,55000
Samsung,i5-1235U,16GB,256GB SSD,MX550 2GB,13.3,FHD,1.8,Linux,Ultrabook,9.5,No,73000
Apple,Apple M2 Pro,16GB,256GB SSD,Integrated,14.0,Retina,2.3,macOS,Notebook,14.9,No,144000
Microsoft,Ryzen 7 5800H,16GB,512GB SSD,RTX 4060 8GB,16.0,QHD,2.2,macOS,Gaming Series,3.9,No,140000
Apple,Apple M1,8GB,1TB SSD,Integrated,15.6,Retina,2.1,macOS,Notebook,14.2,No,98000
Lenovo,i9-12900H,32GB,1TB SSD,RTX 3070 8GB,17.3,QHD,2.4,macOS,Gaming Series,5.2,No,175000
Avita,i3-1215U,16GB,512GB SSD,MX550 2GB,15.6,HD,2.0,Windows 10,Business Series,8.5,No,59000
Microsoft,Ryzen 3 3250U,8GB,512GB HDD,Integrated,13.3,HD,1.3,macOS,Netbook,7.9,No,50000
Dell,i7-11800H,8GB,1TB SSD,Integrated,15.6,FHD,2.2,Windows 11,Notebook,7.0,No,66000
Realme,i3-1215U,32GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.4,Windows 11,Ultrabook,9.9,No,87000
Samsung,i5-12500H,16GB,1TB SSD,Integrated,14.0,FHD,1.8,Linux,Notebook,5.2,No,72000
Lenovo,i3-1115G4,16GB,1TB SSD,MX550 2GB,14.0,FHD,1.1,Windows 11,Ultrabook,5.6,No,70000
HP,Ryzen 5 5500U,16GB,2TB SSD,GTX 1650 4GB,15.6,FHD,2.1,macOS,Business Series,7.3,No,100000
Samsung,i3-1115G4,8GB,512GB HDD,Integrated,11.6,HD,1.0,Windows 11,Netbook,7.3,No,35000
Infinix,i3-1115G4,4GB,512GB HDD,MX550 2GB,13.3,HD,1.5,Windows 11,Netbook,7.4,No,13000
Avita,i7-12700H,4GB,512GB SSD,MX550 2GB,14.0,FHD,1.5,Windows 11,Ultrabook,9.1,No,49000
Infinix,i3-1115G4,4GB,256GB SSD,MX550 2GB,11.6,HD,1.1,DOS,Netbook,8.4,No,20000
Infinix,i7-12700H,64GB,512GB SSD,GTX 1650 4GB,17.3,FHD,2.6,Linux,Gaming Series,3.3,No,158000
HP,Ryzen 5 5500U,16GB,256GB SSD,MX550 2GB,15.6,FHD,2.0,macOS,Notebook,8.1,No,67000
MSI,i9-12900H,8GB,2TB SSD,RTX 3050 4GB,15.6,FHD,2.0,Linux,Gaming Series,5.5,No,156000
Samsung,i5-11400H,8GB,256GB SSD,Integrated,14.0,FHD,2.0,Linux,Notebook,9.0,No,64000
Realme,Ryzen 9 5900HX,16GB,256GB SSD,MX550 2GB,14.0,HD,1.7,Linux,Ultrabook,6.0,No,71000
HP,i5-1135G7,8GB,512GB SSD,MX550 2GB,14.0,FHD,1.9,Windows 10,Notebook,7.8,No,64000
Microsoft,i3-1215U,32GB,1TB SSD,Integrated,13.3,FHD,1.7,Windows 11,Ultrabook,8.5,No,107000
Lenovo,Ryzen 5 5600H,16GB,512GB SSD,GTX 1650 4GB,15.6,HD,1.8,Windows 10,Business Series,9.2,No,75000
Microsoft,i5-12500H,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.9,Windows 11,Notebook,9.5,No,90000
Infinix,i7-11800H,4GB,512GB SSD,Integrated,14.0,FHD,1.7,Windows 11,Notebook,7.0,Yes,47000
Lenovo,Ryzen 9 5900HS,8GB,512GB SSD,GTX 1650 4GB,15.6,QHD,2.1,macOS,Gaming Series,5.9,No,89000
MSI,Ryzen 9 5900HS,16GB,2TB SSD,RTX 3060 6GB,17.3,FHD,2.1,Windows 10,Gaming Series,3.4,No,153000
MSI,i3-1115G4,4GB,256GB HDD,Integrated,11.6,HD,1.3,Windows 11,Netbook,6.9,No,46000
HP,Ryzen 9 5900HS,32GB,512GB SSD,MX550 2GB,14.0,FHD,2.0,macOS,Notebook,9.3,Yes,112000
Avita,i5-1235U,4GB,512GB SSD,Integrated,14.0,HD,1.8,Windows 10,Notebook,9.4,No,41000
Infinix,i7-12700H,16GB,512GB SSD,RTX 3070 8GB,16.0,FHD,2.2,Windows 10,Gaming Series,5.0,No,98000
ASUS,Ryzen 3 3250U,4GB,512GB HDD,MX550 2GB,11.6,HD,1.2,DOS,Netbook,7.4,No,27000
MSI,Ryzen 7 5800H,32GB,1TB SSD,GTX 1650 4GB,17.3,FHD,2.3,Windows 10,Gaming Series,5.2,No,147000
Samsung,Ryzen 9 5900HX,32GB,512GB SSD,RTX 3050 4GB,17.3,4K,2.2,Linux,Gaming Series,5.5,No,141000
ASUS,i7-1255U,16GB,512GB SSD,MX550 2GB,14.0,QHD,1.7,Linux,Ultrabook,6.9,No,86000
MSI,Ryzen 9 5900HS,16GB,2TB SSD,RTX 3070 8GB,16.0,QHD,2.8,macOS,Gaming Series,5.2,No,159000
Microsoft,i5-1235U,8GB,512GB SSD,GTX 1650 4GB,13.3,QHD,1.1,macOS,Ultrabook,6.1,No,94000
Apple,Apple M1 Pro,8GB,1TB SSD,Integrated,14.0,Retina,1.4,macOS,Ultrabook,12.2,No,126000
Samsung,Ryzen 7 5700U,8GB,256GB SSD,Integrated,14.0,FHD,2.3,Linux,Notebook,8.5,No,55000
ASUS,i9-12900H,8GB,1TB SSD,MX550 2GB,14.0,FHD,1.4,Windows 10,Ultrabook,8.0,No,89000
Avita,Ryzen 9 5900HX,16GB,512GB SSD,RTX 4050 6GB,16.0,FHD,2.5,macOS,Gaming Series,5.5,No,99000
Lenovo,i3-1215U,4GB,256GB HDD,MX550 2GB,13.3,HD,1.5,macOS,Netbook,6.2,No,25000
MSI,i7-12700H,8GB,2TB SSD,RTX 3060 6GB,16.0,FHD,2.1,Linux,Gaming Series,5.1,Yes,135000
Infinix,Ryzen 9 5900HX,4GB,256GB SSD,Integrated,15.6,QHD,1.8,Linux,Notebook,8.9,No,55000
Acer,i3-1115G4,4GB,256GB HDD,Integrated,11.6,HD,1.3,DOS,Netbook,7.5,No,20000
Acer,i5-12500H,16GB,256GB SSD,Integrated,14.0,FHD,2.1,Windows 11,Notebook,8.1,No,60000
Samsung,Ryzen 7 5800H,32GB,2TB SSD,RTX 3050 4GB,15.6,FHD,2.8,Windows 10,Gaming Series,5.9,No,139000
Dell,Ryzen 3 3250U,8GB,512GB SSD,MX550 2GB,14.0,FHD,1.9,macOS,Notebook,7.5,No,48000
Realme,Ryzen 7 5800H,8GB,256GB SSD,MX550 2GB,13.3,FHD,1.7,Windows 11,Ultrabook,5.6,No,47000
Avita,i5-1135G7,16GB,1TB SSD,Integrated,14.0,QHD,1.9,Windows 10,Notebook,7.7,No,70000
Lenovo,Ryzen 9 5900HX,16GB,256GB SSD,Integrated,13.3,FHD,1.1,Linux,Ultrabook,5.7,No,66000
Dell,Ryzen 7 5700U,8GB,512GB SSD,MX550 2GB,15.6,QHD,1.7,Windows 11,Notebook,8.2,No,75000
Infinix,i7-12700H,16GB,1TB SSD,RTX 3060 6GB,16.0,FHD,2.4,Windows 10,Gaming Series,4.0,No,111000
Avita,Ryzen 3 3250U,8GB,1TB SSD,Integrated,15.6,FHD,1.7,macOS,Notebook,7.3,No,41000
MSI,Ryzen 9 5900HS,16GB,512GB SSD,MX550 2GB,13.3,FHD,1.5,Linux,Ultrabook,8.5,Yes,110000
Apple,Apple M2 Pro,4GB,512GB HDD,Integrated,11.6,Retina,1.5,macOS,Netbook,16.8,No,41274
Avita,i5-1135G7,8GB,256GB SSD,GTX 1650 4GB,13.3,QHD,1.1,macOS,Ultrabook,8.1,Yes,63000
Avita,i3-1215U,4GB,512GB SSD,MX550 2GB,13.3,FHD,1.2,Linux,Ultrabook,7.4,No,29000
MSI,i7-12700H,4GB,256GB SSD,MX550 2GB,14.0,FHD,1.9,Windows 11,Notebook,8.5,No,78000
Dell,i9-12900H,8GB,512GB SSD,RTX 3060 6GB,16.0,FHD,2.2,Linux,Gaming Series,3.3,No,111000
Microsoft,i3-1215U,8GB,512GB HDD,MX550 2GB,11.6,FHD,1.4,macOS,Netbook,8.4,No,26800
MSI,i5-11400H,8GB,256GB SSD,MX550 2GB,14.0,FHD,1.9,Windows 10,Ultrabook,9.1,No,75000
MSI,Ryzen 9 5900HX,4GB,256GB SSD,GTX 1650 4GB,14.0,4K,1.7,Linux,Ultrabook,6.2,No,98000
HP,i3-1115G4,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.8,Linux,Notebook,9.1,No,61000
Lenovo,Ryzen 7 5800H,16GB,512GB SSD,RTX 4060 8GB,15.6,QHD,2.7,macOS,Gaming Series,3.2,No,120000
Lenovo,i9-12900H,16GB,1TB SSD,RTX 3050 4GB,16.0,4K,2.6,Windows 11,Gaming Series,4.6,No,133000
MSI,i9-12900H,16GB,2TB SSD,RTX 3050 4GB,17.3,FHD,2.8,Windows 10,Gaming Series,3.2,No,171000
Samsung,i5-12500H,8GB,1TB SSD,MX550 2GB,14.0,FHD,1.6,Windows 11,Notebook,9.5,No,68000
Dell,Ryzen 7 5700U,16GB,1TB SSD,Integrated,15.6,FHD,1.9,Windows 10,Notebook,8.3,No,74000
HP,i5-12500H,16GB,256GB SSD,Integrated,14.0,FHD,2.3,Windows 11,Notebook,5.2,No,67000
Lenovo,Ryzen 9 5900HS,16GB,512GB SSD,RTX 4050 6GB,15.6,FHD,2.3,Windows 10,Gaming Series,5.9,No,117000
HP,i5-11400H,16GB,256GB SSD,MX550 2GB,14.0,FHD,1.7,macOS,Ultrabook,8.3,No,66000
Microsoft,i5-11400H,16GB,1TB SSD,MX550 2GB,15.6,FHD,1.9,Windows 11,Notebook,8.0,No,115000
Apple,Apple M2 Pro,4GB,256GB HDD,Integrated,13.3,Retina,1.2,macOS,Netbook,12.2,No,39095
Apple,Apple M2,8GB,512GB SSD,Integrated,15.6,Retina,2.2,macOS,Business Series,12.6,No,105000
Lenovo,i5-1235U,8GB,256GB SSD,Integrated,15.6,HD,1.9,macOS,Notebook,8.8,No,51000
Avita,i7-1255U,16GB,512GB SSD,Integrated,15.6,FHD,1.8,Windows 11,Notebook,5.9,No,65000
MSI,i7-12700H,16GB,512GB SSD,RTX 4050 6GB,15.6,FHD,2.0,Windows 10,Gaming Series,4.8,No,137000
Lenovo,i3-1215U,8GB,256GB HDD,MX550 2GB,13.3,FHD,1.2,Windows 10,Netbook,8.8,No,33000
Microsoft,Ryzen 9 5900HS,16GB,2TB SSD,GTX 1650 4GB,15.6,QHD,2.2,Windows 11,Gaming Series,5.5,No,143000
ASUS,i5-1135G7,8GB,256GB SSD,MX550 2GB,14.0,QHD,1.6,Windows 10,Notebook,6.3,No,74000
Lenovo,Ryzen 3 3250U,4GB,512GB HDD,Integrated,13.3,HD,1.3,Windows 11,Netbook,7.8,Yes,21000
Realme,i7-12700H,8GB,512GB SSD,GTX 1650 4GB,15.6,FHD,2.8,Windows 11,Gaming Series,4.4,No,77000
Realme,Ryzen 3 3250U,8GB,1TB SSD,Integrated,15.6,FHD,2.0,Windows 11,Notebook,6.4,No,43000
HP,i7-11800H,16GB,2TB SSD,Integrated,14.0,FHD,1.9,macOS,Business Series,7.4,No,97000
ASUS,Ryzen 9 5900HS,32GB,512GB SSD,GTX 1650 4GB,15.6,FHD,2.5,Linux,Gaming Series,4.9,Yes,133000
Apple,Apple M1,8GB,256GB HDD,Integrated,11.6,Retina,1.0,macOS,Netbook,18.0,No,25930
Microsoft,i3-1215U,4GB,512GB HDD,Integrated,13.3,HD,1.2,Linux,Netbook,7.7,No,45000
Samsung,Ryzen 9 5900HS,8GB,512GB SSD,MX550 2GB,14.0,HD,2.2,Windows 10,Notebook,8.7,No,76000
Acer,i7-1255U,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.6,Linux,Ultrabook,6.9,No,88000
Infinix,i7-12700H,16GB,512GB SSD,RTX 3050 4GB,15.6,FHD,2.3,Windows 11,Gaming Series,5.1,No,92000
Realme,Ryzen 5 5600H,8GB,1TB SSD,Integrated,13.3,QHD,1.4,Linux,Ultrabook,9.8,No,59000
Infinix,Ryzen 9 5900HS,32GB,512GB SSD,RTX 3060 6GB,16.0,FHD,2.7,Linux,Gaming Series,3.2,No,125000
Microsoft,Ryzen 9 5900HS,8GB,256GB SSD,Integrated,14.0,HD,2.0,Windows 10,Notebook,6.9,No,91000
Apple,Apple M1,16GB,1TB SSD,Integrated,16.0,Retina,2.7,macOS,Gaming Series,13.7,No,116000
Lenovo,i7-11800H,8GB,1TB SSD,MX550 2GB,15.6,HD,1.9,macOS,Notebook,7.8,No,80000
Microsoft,Ryzen 7 5700U,16GB,1TB SSD,GTX 1650 4GB,15.6,QHD,1.5,Linux,Business Series,6.4,No,137000
Avita,i3-1115G4,4GB,256GB HDD,Integrated,13.3,HD,1.4,Linux,Netbook,9.5,No,10000
Infinix,Ryzen 9 5900HX,8GB,1TB SSD,Integrated,14.0,FHD,1.6,Windows 10,Ultrabook,8.1,No,58000
MSI,i5-11400H,16GB,512GB SSD,GTX 1650 4GB,15.6,QHD,2.1,Windows 11,Business Series,8.4,No,116000
MSI,i5-1135G7,16GB,512GB SSD,Integrated,15.6,FHD,1.9,Linux,Notebook,5.4,No,90000
HP,i3-1115G4,4GB,256GB HDD,Integrated,13.3,HD,1.0,Linux,Netbook,9.5,No,23000
Acer,Ryzen 9 5900HX,16GB,2TB SSD,MX550 2GB,14.0,FHD,1.5,macOS,Business Series,9.3,No,100000
Samsung,i5-12500H,32GB,512GB SSD,RTX 4050 6GB,15.6,4K,2.2,Linux,Gaming Series,5.6,No,140000
Microsoft,Ryzen 7 5800H,16GB,256GB SSD,Integrated,14.0,FHD,2.1,Windows 11,Notebook,9.6,No,95000
ASUS,Ryzen 9 5900HS,16GB,512GB SSD,Integrated,15.6,4K,1.7,Windows 11,Notebook,6.0,No,99000
Samsung,i3-1215U,8GB,512GB HDD,Integrated,13.3,HD,1.2,Windows 10,Netbook,9.5,No,37000
HP,i7-12700H,8GB,2TB SSD,RTX 3050 4GB,15.6,FHD,2.1,Windows 10,Gaming Series,3.1,No,106000
Infinix,Ryzen 5 5600H,16GB,2TB SSD,Integrated,14.0,FHD,2.1,Windows 10,Business Series,7.3,No,69000
MSI,i9-12900H,16GB,1TB SSD,Integrated,13.3,QHD,1.5,Linux,Ultrabook,6.6,No,136000
Avita,i9-12900H,32GB,2TB SSD,GTX 1650 4GB,15.6,QHD,2.1,macOS,Gaming Series,4.6,No,155000
Realme,i5-12500H,4GB,512GB SSD,Integrated,15.6,FHD,2.0,Windows 11,Notebook,7.4,No,42000
Apple,Apple M2 Pro,4GB,512GB HDD,Integrated,13.3,Retina,1.2,macOS,Netbook,12.3,No,23025
Realme,i5-1135G7,16GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.9,Windows 10,Ultrabook,6.3,No,72000
HP,Ryzen 3 3250U,4GB,512GB HDD,MX550 2GB,11.6,HD,1.1,Windows 11,Netbook,6.9,No,24000
Realme,i5-11400H,16GB,512GB SSD,GTX 1650 4GB,13.3,FHD,1.4,Windows 11,Ultrabook,5.5,No,76000
Infinix,Ryzen 3 3250U,8GB,256GB SSD,Integrated,13.3,HD,1.2,Linux,Netbook,6.4,No,17000
Microsoft,i3-1215U,16GB,512GB SSD,Integrated,14.0,HD,1.6,Windows 10,Ultrabook,6.0,No,82000
HP,Ryzen 9 5900HX,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.5,Windows 10,Business Series,8.9,No,91000
Microsoft,Ryzen 9 5900HS,32GB,2TB SSD,GTX 1650 4GB,16.0,QHD,2.5,macOS,Gaming Series,4.7,No,176000
Infinix,Ryzen 7 5800H,16GB,1TB SSD,MX550 2GB,15.6,FHD,2.3,Windows 11,Business Series,8.4,No,70000
Avita,Ryzen 7 5800H,8GB,512GB SSD,RTX 4060 8GB,15.6,FHD,2.8,Windows 10,Gaming Series,5.9,No,83000
Microsoft,Ryzen 7 5800H,32GB,2TB SSD,RTX 4060 8GB,15.6,QHD,2.5,Windows 10,Gaming Series,4.7,No,175000
Samsung,Ryzen 3 3250U,4GB,256GB HDD,MX550 2GB,13.3,HD,1.2,Windows 11,Netbook,7.6,No,33000
Samsung,i3-1215U,8GB,1TB SSD,MX550 2GB,14.0,FHD,2.1,macOS,Notebook,8.1,Yes,66000
Dell,i7-12700H,32GB,1TB SSD,RTX 4060 8GB,16.0,QHD,2.6,Windows 10,Gaming Series,4.9,No,155000
Avita,i9-12900H,64GB,1TB SSD,RTX 3050 4GB,16.0,QHD,2.3,Windows 11,Gaming Series,4.0,Yes,182000
Dell,i3-1115G4,8GB,256GB SSD,MX550 2GB,13.3,FHD,1.4,Linux,Netbook,9.0,Yes,36000
Dell,Ryzen 7 5700U,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.2,Windows 10,Ultrabook,6.2,Yes,90000
Acer,Ryzen 3 3250U,4GB,256GB HDD,Integrated,11.6,HD,1.2,Windows 10,Netbook,9.4,No,16000
Avita,i7-12700H,32GB,2TB SSD,RTX 3060 6GB,17.3,4K,2.2,Windows 11,Gaming Series,4.0,No,169000
Avita,i5-1235U,8GB,256GB SSD,Integrated,15.6,QHD,2.1,macOS,Notebook,6.0,No,47000
HP,i7-12700H,16GB,1TB SSD,RTX 3070 8GB,15.6,QHD,2.5,Windows 11,Gaming Series,5.8,No,132000
Avita,Ryzen 5 5600H,8GB,1TB SSD,Integrated,15.6,FHD,1.7,macOS,Notebook,7.4,No,41000
Dell,i5-12500H,32GB,1TB SSD,RTX 4050 6GB,16.0,4K,2.7,Linux,Gaming Series,4.6,No,137000
Samsung,i7-1255U,4GB,256GB SSD,MX550 2GB,15.6,FHD,2.0,Windows 11,Notebook,9.6,No,71000
Microsoft,Ryzen 9 5900HX,8GB,256GB SSD,GTX 1650 4GB,13.3,QHD,1.9,macOS,Ultrabook,6.2,No,109000
HP,i7-1255U,16GB,256GB SSD,GTX 1650 4GB,14.0,QHD,1.0,Linux,Ultrabook,7.1,No,86000
Realme,i3-1215U,16GB,256GB SSD,Integrated,14.0,FHD,1.4,Windows 10,Ultrabook,5.9,No,46000
Acer,i7-12700H,32GB,1TB SSD,RTX 3070 8GB,15.6,FHD,2.4,macOS,Gaming Series,5.2,No,153000
HP,i3-1115G4,4GB,256GB HDD,MX550 2GB,11.6,HD,1.4,Windows 11,Netbook,8.9,No,24000
Acer,Ryzen 5 5600H,16GB,1TB SSD,Integrated,14.0,HD,2.2,Linux,Notebook,7.5,No,65000
Dell,Ryzen 3 3250U,4GB,256GB HDD,Integrated,11.6,HD,1.3,DOS,Netbook,9.8,No,25000
Samsung,i5-12500H,32GB,256GB SSD,MX550 2GB,14.0,FHD,1.9,Linux,Notebook,9.6,Yes,98000
Acer,i3-1215U,8GB,256GB SSD,Integrated,11.6,FHD,1.5,Windows 10,Netbook,8.0,No,25000
MSI,Ryzen 9 5900HS,16GB,2TB SSD,RTX 4060 8GB,17.3,QHD,2.7,Linux,Gaming Series,3.3,No,189000
ASUS,Ryzen 7 5700U,8GB,512GB SSD,Integrated,13.3,FHD,1.8,Linux,Ultrabook,5.7,No,59000
Samsung,Ryzen 3 3250U,16GB,512GB SSD,Integrated,15.6,FHD,1.6,Windows 10,Notebook,8.4,No,65000
Avita,i5-12500H,8GB,512GB SSD,MX550 2GB,15.6,HD,1.8,macOS,Notebook,7.6,No,52000
ASUS,i5-12500H,64GB,512GB SSD,GTX 1650 4GB,16.0,FHD,2.5,Windows 11,Gaming Series,4.8,No,150000
Acer,Ryzen 3 3250U,4GB,256GB SSD,Integrated,13.3,FHD,1.1,DOS,Netbook,8.4,No,21000
Realme,i9-12900H,32GB,512GB SSD,RTX 4050 6GB,17.3,FHD,2.6,Windows 11,Gaming Series,5.3,No,140000
Infinix,i3-1115G4,8GB,512GB SSD,MX550 2GB,15.6,HD,1.7,macOS,Notebook,8.5,No,35000
Samsung,Ryzen 5 5500U,16GB,256GB SSD,Integrated,14.0,FHD,1.1,macOS,Ultrabook,9.5,No,67000
Avita,Ryzen 7 5700U,32GB,256GB SSD,Integrated,14.0,FHD,2.0,macOS,Notebook,6.4,No,73000
Infinix,i3-1115G4,4GB,256GB SSD,MX550 2GB,13.3,HD,1.4,Windows 10,Netbook,8.2,No,14000
Acer,Ryzen 9 5900HX,8GB,512GB SSD,Integrated,13.3,HD,1.7,macOS,Ultrabook,6.9,No,67000
Avita,Ryzen 9 5900HS,32GB,1TB SSD,RTX 4050 6GB,15.6,FHD,2.7,Linux,Gaming Series,5.6,No,121000
MSI,Ryzen 7 5700U,16GB,2TB SSD,MX550 2GB,15.6,QHD,1.8,Windows 11,Business Series,6.7,No,129000
Microsoft,Ryzen 9 5900HX,32GB,1TB SSD,RTX 3070 8GB,15.6,FHD,2.2,macOS,Gaming Series,5.0,No,175000
Dell,i5-11400H,8GB,256GB SSD,Integrated,14.0,FHD,2.1,Windows 10,Notebook,6.2,No,54000
MSI,Ryzen 7 5800H,32GB,1TB SSD,RTX 3050 4GB,15.6,QHD,2.4,Linux,Gaming Series,3.9,No,142000
HP,Ryzen 9 5900HS,16GB,256GB SSD,MX550 2GB,14.0,FHD,1.6,Linux,Ultrabook,6.9,No,83000
Samsung,Ryzen 9 5900HS,16GB,256GB SSD,MX550 2GB,14.0,FHD,2.2,Windows 10,Notebook,7.5,No,80000
Microsoft,i7-1255U,8GB,256GB SSD,GTX 1650 4GB,13.3,FHD,1.4,Linux,Ultrabook,7.2,No,94000
MSI,Ryzen 3 3250U,4GB,256GB HDD,MX550 2GB,13.3,HD,1.0,macOS,Netbook,8.6,No,37932
Avita,i3-1215U,8GB,256GB SSD,MX550 2GB,11.6,HD,1.1,macOS,Netbook,8.2,No,23000
ASUS,Ryzen 3 3250U,8GB,256GB HDD,MX550 2GB,11.6,FHD,1.2,Linux,Netbook,7.5,No,34000
HP,Ryzen 9 5900HX,16GB,1TB SSD,GTX 1650 4GB,17.3,QHD,2.3,Windows 11,Gaming Series,5.0,Yes,112000
Realme,Ryzen 7 5800H,16GB,1TB SSD,MX550 2GB,14.0,HD,2.1,Windows 10,Notebook,9.2,No,75000
Samsung,Ryzen 5 5600H,8GB,512GB SSD,Integrated,15.6,FHD,2.1,Windows 11,Notebook,9.0,No,55000
MSI,i3-1115G4,16GB,256GB SSD,Integrated,13.3,FHD,1.4,macOS,Ultrabook,8.7,No,71000
Realme,i3-1115G4,4GB,512GB HDD,MX550 2GB,11.6,HD,1.4,Windows 11,Netbook,9.7,No,17000
HP,i7-12700H,16GB,1TB SSD,GTX 1650 4GB,13.3,FHD,1.9,Linux,Ultrabook,7.5,Yes,100000
HP,i3-1115G4,8GB,512GB HDD,MX550 2GB,11.6,HD,1.3,Linux,Netbook,8.3,No,31000
Infinix,Ryzen 7 5700U,16GB,1TB SSD,MX550 2GB,14.0,FHD,2.1,Windows 11,Business Series,6.2,No,71000
Samsung,Ryzen 5 5500U,16GB,1TB SSD,Integrated,15.6,FHD,2.2,Windows 11,Notebook,9.7,No,79000
Acer,i3-1115G4,16GB,1TB SSD,Integrated,14.0,FHD,1.5,Windows 11,Notebook,5.4,Yes,58000
ASUS,i3-1115G4,4GB,256GB HDD,MX550 2GB,11.6,FHD,1.2,macOS,Netbook,8.7,Yes,30000
Lenovo,i3-1215U,4GB,512GB HDD,MX550 2GB,13.3,HD,1.5,macOS,Netbook,6.1,No,23000
Lenovo,Ryzen 9 5900HX,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.4,Windows 10,Ultrabook,5.4,No,91000
MSI,Ryzen 7 5700U,16GB,1TB SSD,Integrated,14.0,QHD,2.0,Windows 10,Notebook,8.9,No,99000
MSI,i5-1135G7,8GB,1TB SSD,MX550 2GB,13.3,FHD,2.0,Linux,Ultrabook,6.1,No,80000
Avita,i7-1255U,16GB,1TB SSD,GTX 1650 4GB,13.3,FHD,1.5,Windows 10,Ultrabook,6.9,No,84000
Acer,i5-1135G7,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.6,Windows 11,Notebook,6.2,No,72000
Avita,i5-12500H,4GB,256GB SSD,Integrated,14.0,FHD,1.4,Windows 10,Ultrabook,5.2,No,37000
Avita,i9-12900H,16GB,512GB SSD,GTX 1650 4GB,17.3,FHD,2.3,Windows 10,Gaming Series,3.3,No,118000
Apple,Apple M2,16GB,256GB SSD,Integrated,14.0,Retina,1.5,macOS,Notebook,15.4,No,112000
Lenovo,i3-1115G4,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.6,Windows 10,Notebook,7.2,Yes,54000
Samsung,Ryzen 7 5700U,8GB,512GB SSD,MX550 2GB,15.6,QHD,1.8,Linux,Notebook,5.8,Yes,71000
